EEMMM,FECHA_DEF_CT,INTUBADO_CT,NEUMONIA_CT,EMBARAZO_CT,HABLA_LENGUA_INDIG_CT,DIABETES_CT,EPOC_CT,ASMA_CT,INMUSUPR_CT,HIPERTENSION_CT,OTRA_COM_CT,CARDIOVASCULAR_CT,OBESIDAD_CT,RENAL_CRONICA_CT,TABAQUISMO_CT,OTRO_CASO_CT,RESULTADO_POS,RESULTADO_NEG,RESULTADO_PDT,MUJERES_CT,HOMBRES_CT,LONGITUD,LATITUD,NOM_ENT,NOM_MUN
20509,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,-96.63441351470676,15.83354686539166,Oaxaca,Santo Domingo de Morelos
20515,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,-95.39159596364287,16.22171043375578,Oaxaca,Santo Domingo Tehuantepec
20525,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-94.33233834470023,16.46449652434494,Oaxaca,Santo Domingo Zanatepec
20526,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,-97.18831677546099,16.080746691852,Oaxaca,Santos Reyes Nopala
20530,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-96.63769047501103,16.86657364967926,Oaxaca,Santo Tomás Jalieza
20531,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-96.91193398072356,17.14686859551023,Oaxaca,Santo Tomás Mazaltepec
20537,0,0,2,0,0,2,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,-98.14392272092306,17.56074632274236,Oaxaca,Silacayoápam
20540,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,1,-97.58023021615759,17.69029565769011,Oaxaca,Villa de Tamazulápam del Progreso
20545,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,-97.11221409726068,18.10737735775535,Oaxaca,Teotitlán de Flores Magón
20546,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-96.51729369460648,17.0556720897447,Oaxaca,Teotitlán del Valle
20549,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,-97.8584962112017,17.5822390137596,Oaxaca,"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca"
20551,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,-96.35934674129138,16.87358397294917,Oaxaca,Tlacolula de Matamoros
20553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,-96.61638562419758,17.09413253231817,Oaxaca,Tlalixtac de Cabrera
20557,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,-94.82312018665974,16.48737159940136,Oaxaca,Unión Hidalgo
20565,0,0,3,0,0,1,1,1,0,3,0,0,2,0,0,0,0,6,1,0,0,-96.76657257361917,16.94968338437934,Oaxaca,Villa de Zaachila
